"id","piece_number","composer","title","question","modality","submodality","horizon","answer_object_type","answer_format","answer_quantity","answer_example","answers","abc","midi","abc_midi","audio","pdf","image"
"musp_11","3","Balakirev","Islamey","Which three notes of the main melody in bars 100-105 does the performer play staccato?","SP","","Mid","Composite answer","Pitch, ""in bar"", bar number","List ordered by appearance","[""F#1 in bar 100, A2 in bar 101, A4 in bar 102""]","[""C#4 in bar 103, B3 in bar 103, A3 in bar 103""]","inputs/abc/piece-03.abc","inputs/midi_performance_event_text/piece-03.txt","inputs/abc_plus_midi/piece-03.abc","inputs/audio/piece-03.wav","inputs/pdf/without_context/piece-03.pdf","[""inputs/images/piece-03/page-01.png"", ""inputs/images/piece-03/page-02.png"", ""inputs/images/piece-03/page-03.png"", ""inputs/images/piece-03/page-04.png"", ""inputs/images/piece-03/page-05.png"", ""inputs/images/piece-03/page-06.png"", ""inputs/images/piece-03/page-07.png"", ""inputs/images/piece-03/page-08.png"", ""inputs/images/piece-03/page-09.png"", ""inputs/images/piece-03/page-10.png"", ""inputs/images/piece-03/page-11.png"", ""inputs/images/piece-03/page-12.png"", ""inputs/images/piece-03/page-13.png"", ""inputs/images/piece-03/page-14.png"", ""inputs/images/piece-03/page-15.png"", ""inputs/images/piece-03/page-16.png"", ""inputs/images/piece-03/page-17.png"", ""inputs/images/piece-03/page-18.png"", ""inputs/images/piece-03/page-19.png"", ""inputs/images/piece-03/page-20.png""]"
"musp_12","3","Balakirev","Islamey","The first part of the piece concludes at 2:04. Up until there, the bars 1-2 of the piece were varied many times. How many times in total were these two bars played or varied? Count any occurrence in which the variation spans the full two bar passage and the melody remains essentially the same.","SP","","Long","Integer","Positive integer","Single","[""4""]","[""10""]","inputs/abc/piece-03.abc","inputs/midi_performance_event_text/piece-03.txt","inputs/abc_plus_midi/piece-03.abc","inputs/audio/piece-03.wav","inputs/pdf/without_context/piece-03.pdf","[""inputs/images/piece-03/page-01.png"", ""inputs/images/piece-03/page-02.png"", ""inputs/images/piece-03/page-03.png"", ""inputs/images/piece-03/page-04.png"", ""inputs/images/piece-03/page-05.png"", ""inputs/images/piece-03/page-06.png"", ""inputs/images/piece-03/page-07.png"", ""inputs/images/piece-03/page-08.png"", ""inputs/images/piece-03/page-09.png"", ""inputs/images/piece-03/page-10.png"", ""inputs/images/piece-03/page-11.png"", ""inputs/images/piece-03/page-12.png"", ""inputs/images/piece-03/page-13.png"", ""inputs/images/piece-03/page-14.png"", ""inputs/images/piece-03/page-15.png"", ""inputs/images/piece-03/page-16.png"", ""inputs/images/piece-03/page-17.png"", ""inputs/images/piece-03/page-18.png"", ""inputs/images/piece-03/page-19.png"", ""inputs/images/piece-03/page-20.png""]"
"musp_13","4","Beethoven","Piano Sonata 23, movement 1","At what time does the development, around the time when the main theme is played shortly in E minor, start?","SP","","Long","Timestamp","Timestamp in M:SS or MM:SS (rounded down)","Single","[""02:54""]","[""02:29"", ""2:27"", ""02:33""]","inputs/abc/piece-04.abc","inputs/midi_performance_event_text/piece-04.txt","inputs/abc_plus_midi/piece-04.abc","inputs/audio/piece-04.wav","inputs/pdf/without_context/piece-04.pdf","[""inputs/images/piece-04/page-01.png"", ""inputs/images/piece-04/page-02.png"", ""inputs/images/piece-04/page-03.png"", ""inputs/images/piece-04/page-04.png"", ""inputs/images/piece-04/page-05.png"", ""inputs/images/piece-04/page-06.png"", ""inputs/images/piece-04/page-07.png"", ""inputs/images/piece-04/page-08.png"", ""inputs/images/piece-04/page-09.png"", ""inputs/images/piece-04/page-10.png"", ""inputs/images/piece-04/page-11.png"", ""inputs/images/piece-04/page-12.png"", ""inputs/images/piece-04/page-13.png"", ""inputs/images/piece-04/page-14.png"", ""inputs/images/piece-04/page-15.png"", ""inputs/images/piece-04/page-16.png"", ""inputs/images/piece-04/page-17.png"", ""inputs/images/piece-04/page-18.png"", ""inputs/images/piece-04/page-19.png"", ""inputs/images/piece-04/page-20.png"", ""inputs/images/piece-04/page-21.png"", ""inputs/images/piece-04/page-22.png"", ""inputs/images/piece-04/page-23.png"", ""inputs/images/piece-04/page-24.png"", ""inputs/images/piece-04/page-25.png"", ""inputs/images/piece-04/page-26.png"", ""inputs/images/piece-04/page-27.png"", ""inputs/images/piece-04/page-28.png"", ""inputs/images/piece-04/page-29.png"", ""inputs/images/piece-04/page-30.png"", ""inputs/images/piece-04/page-31.png""]"
"musp_14","4","Beethoven","Piano Sonata 23, movement 1","In the piece’s coda, the performer plays a cadenza-like passage of arpeggiated chords and grand gestures. Within this passage, in which bar does the performer briefly draw back in intensity and force before returning to the arpeggiated texture with at least equal strength immediately afterward?","SP","","Long","Bar / beat","Bar number (digits)","Single","[""4""]","[""222"", ""224""]","inputs/abc/piece-04.abc","inputs/midi_performance_event_text/piece-04.txt","inputs/abc_plus_midi/piece-04.abc","inputs/audio/piece-04.wav","inputs/pdf/without_context/piece-04.pdf","[""inputs/images/piece-04/page-01.png"", ""inputs/images/piece-04/page-02.png"", ""inputs/images/piece-04/page-03.png"", ""inputs/images/piece-04/page-04.png"", ""inputs/images/piece-04/page-05.png"", ""inputs/images/piece-04/page-06.png"", ""inputs/images/piece-04/page-07.png"", ""inputs/images/piece-04/page-08.png"", ""inputs/images/piece-04/page-09.png"", ""inputs/images/piece-04/page-10.png"", ""inputs/images/piece-04/page-11.png"", ""inputs/images/piece-04/page-12.png"", ""inputs/images/piece-04/page-13.png"", ""inputs/images/piece-04/page-14.png"", ""inputs/images/piece-04/page-15.png"", ""inputs/images/piece-04/page-16.png"", ""inputs/images/piece-04/page-17.png"", ""inputs/images/piece-04/page-18.png"", ""inputs/images/piece-04/page-19.png"", ""inputs/images/piece-04/page-20.png"", ""inputs/images/piece-04/page-21.png"", ""inputs/images/piece-04/page-22.png"", ""inputs/images/piece-04/page-23.png"", ""inputs/images/piece-04/page-24.png"", ""inputs/images/piece-04/page-25.png"", ""inputs/images/piece-04/page-26.png"", ""inputs/images/piece-04/page-27.png"", ""inputs/images/piece-04/page-28.png"", ""inputs/images/piece-04/page-29.png"", ""inputs/images/piece-04/page-30.png"", ""inputs/images/piece-04/page-31.png""]"
"musp_15","4","Beethoven","Piano Sonata 23, movement 1","Consider the secondary theme to consist of two parts. The second part starts like the first part but has a different ending. During the first time the secondary melody is played, when exactly does this sudden change in melodic trajectory take place? When does an unexpected note break the similarity with the first phrase?","SP","","Long","Timestamp","Timestamp in M:SS or MM:SS (rounded down)","Single","[""02:54""]","[""01:39""]","inputs/abc/piece-04.abc","inputs/midi_performance_event_text/piece-04.txt","inputs/abc_plus_midi/piece-04.abc","inputs/audio/piece-04.wav","inputs/pdf/without_context/piece-04.pdf","[""inputs/images/piece-04/page-01.png"", ""inputs/images/piece-04/page-02.png"", ""inputs/images/piece-04/page-03.png"", ""inputs/images/piece-04/page-04.png"", ""inputs/images/piece-04/page-05.png"", ""inputs/images/piece-04/page-06.png"", ""inputs/images/piece-04/page-07.png"", ""inputs/images/piece-04/page-08.png"", ""inputs/images/piece-04/page-09.png"", ""inputs/images/piece-04/page-10.png"", ""inputs/images/piece-04/page-11.png"", ""inputs/images/piece-04/page-12.png"", ""inputs/images/piece-04/page-13.png"", ""inputs/images/piece-04/page-14.png"", ""inputs/images/piece-04/page-15.png"", ""inputs/images/piece-04/page-16.png"", ""inputs/images/piece-04/page-17.png"", ""inputs/images/piece-04/page-18.png"", ""inputs/images/piece-04/page-19.png"", ""inputs/images/piece-04/page-20.png"", ""inputs/images/piece-04/page-21.png"", ""inputs/images/piece-04/page-22.png"", ""inputs/images/piece-04/page-23.png"", ""inputs/images/piece-04/page-24.png"", ""inputs/images/piece-04/page-25.png"", ""inputs/images/piece-04/page-26.png"", ""inputs/images/piece-04/page-27.png"", ""inputs/images/piece-04/page-28.png"", ""inputs/images/piece-04/page-29.png"", ""inputs/images/piece-04/page-30.png"", ""inputs/images/piece-04/page-31.png""]"
"musp_16","5","Beethoven","Piano Sonata No. 21, movement 1","In the re-exposition, after the theme recurs in diminution, the piece briefly modulates to A major. The A major passage concludes with a half cadence at what time?","SP","","Long","Timestamp","Timestamp in M:SS or MM:SS (rounded down)","Single","[""02:54""]","[""07:34"", ""07:33""]","inputs/abc/piece-05.abc","inputs/midi_performance_event_text/piece-05.txt","inputs/abc_plus_midi/piece-05.abc","inputs/audio/piece-05.wav","inputs/pdf/without_context/piece-05.pdf","[""inputs/images/piece-05/page-01.png"", ""inputs/images/piece-05/page-02.png"", ""inputs/images/piece-05/page-03.png"", ""inputs/images/piece-05/page-04.png"", ""inputs/images/piece-05/page-05.png"", ""inputs/images/piece-05/page-06.png"", ""inputs/images/piece-05/page-07.png"", ""inputs/images/piece-05/page-08.png"", ""inputs/images/piece-05/page-09.png"", ""inputs/images/piece-05/page-10.png"", ""inputs/images/piece-05/page-11.png"", ""inputs/images/piece-05/page-12.png"", ""inputs/images/piece-05/page-13.png"", ""inputs/images/piece-05/page-14.png"", ""inputs/images/piece-05/page-15.png"", ""inputs/images/piece-05/page-16.png"", ""inputs/images/piece-05/page-17.png"", ""inputs/images/piece-05/page-18.png"", ""inputs/images/piece-05/page-19.png"", ""inputs/images/piece-05/page-20.png""]"
"musp_17","20","Beethoven","Symphony No. 2, movement 3","At what time do the two forte-piano signs occur in the recording?","SP","","Mid","Timestamp","Timestamp in M:SS or MM:SS (rounded down)","Pair","[""00:37, 02:14""]","[""00:14, 00:17""]","inputs/abc/piece-20.abc","inputs/midi_performance_event_text/piece-20.txt","inputs/abc_plus_midi/piece-20.abc","https://zenodo.org/records/20344500/files/BSED.zip?download=1","inputs/pdf/without_context/piece-20.pdf","[""inputs/images/piece-20/page-1.png"", ""inputs/images/piece-20/page-2.png"", ""inputs/images/piece-20/page-3.png""]"
"musp_18","21","Beethoven","Symphony No. 4, movement 2","At what time do both horn parts begin playing?","SP","","Mid","Timestamp","Timestamp in M:SS or MM:SS (rounded down)","Single","[""00:37"", ""02:14"", ""11:05""]","[""00:14""]","inputs/abc/piece-21.abc","inputs/midi_performance_event_text/piece-21.txt","inputs/abc_plus_midi/piece-21.abc","inputs/audio/piece-21.wav","inputs/pdf/without_context/piece-21.pdf","[""inputs/images/piece-21/page-1.png"", ""inputs/images/piece-21/page-2.png""]"
"musp_19","21","Beethoven","Symphony No. 4, movement 2","As the long diatonically descending melodic line passes between different instruments, which note does the orchestra lean into most strongly through rubato?","SP","","Long","Composite answer","Pitch, ""in bar"", bar number","Single","[""A4 in bar 4""]","[""G5 in bar 99"", ""F4 in bar 100""]","inputs/abc/piece-21.abc","inputs/midi_performance_event_text/piece-21.txt","inputs/abc_plus_midi/piece-21.abc","inputs/audio/piece-21.wav","inputs/pdf/without_context/piece-21.pdf","[""inputs/images/piece-21/page-1.png"", ""inputs/images/piece-21/page-2.png""]"
"musp_20","21","Beethoven","Symphony No. 4, movement 2","The performance does not follow the indicated tempo. What BPM best matches the performance? Round your answer to the nearest 10 BPM.","SP","","Long","Integer","Positive integer","Single","[""100""]","[""30""]","inputs/abc/piece-21.abc","inputs/midi_performance_event_text/piece-21.txt","inputs/abc_plus_midi/piece-21.abc","inputs/audio/piece-21.wav","inputs/pdf/without_context/piece-21.pdf","[""inputs/images/piece-21/page-1.png"", ""inputs/images/piece-21/page-2.png""]"
"musp_21","24","Beethoven","Symphony No. 9, movement 1","Which instruments carry or take part in carrying the main melody from 00:01 until the melody plays the leading tone to the passage's tonality?

Mention the instruments in the same wording as in the score.","SP","","Long","Short text","Instrument name","List ordered alphabetically","[""Piano, saxophone""]","[""Bassoon, cello, clarinet, flute, viola, violin"", ""Bassoon, clarinet, flute, violin""]","inputs/abc/piece-24.abc","inputs/midi_performance_event_text/piece-24.txt","inputs/abc_plus_midi/piece-24.abc","inputs/audio/piece-24.wav","inputs/pdf/without_context/piece-24.pdf","[""inputs/images/piece-24/page-1.png"", ""inputs/images/piece-24/page-2.png""]"
"musp_22","6","Chopin","Ballade No. 1","Which note of the main melody is played with the most rubato in bars 73-74?","SP","","Short","Pitch","Pitch with octave number","Single","[""A4"", ""G#3"", ""Bb2""]","[""Ab5""]","inputs/abc/piece-06.abc","inputs/midi_performance_event_text/piece-06.txt","inputs/abc_plus_midi/piece-06.abc","inputs/audio/piece-06.wav","inputs/pdf/without_context/piece-06.pdf","[""inputs/images/piece-06/page-01.png"", ""inputs/images/piece-06/page-02.png"", ""inputs/images/piece-06/page-03.png"", ""inputs/images/piece-06/page-04.png"", ""inputs/images/piece-06/page-05.png"", ""inputs/images/piece-06/page-06.png"", ""inputs/images/piece-06/page-07.png"", ""inputs/images/piece-06/page-08.png"", ""inputs/images/piece-06/page-09.png"", ""inputs/images/piece-06/page-10.png"", ""inputs/images/piece-06/page-11.png"", ""inputs/images/piece-06/page-12.png"", ""inputs/images/piece-06/page-13.png"", ""inputs/images/piece-06/page-14.png"", ""inputs/images/piece-06/page-15.png"", ""inputs/images/piece-06/page-16.png"", ""inputs/images/piece-06/page-17.png""]"
"musp_23","6","Chopin","Ballade No. 1","The performer plays the first thought (the music fragment before the first global silence) with a lot of rubato. Describe the contour of the acceleration/deceleration: if the performer first slows down and then accelerates, write 'slower, faster'.","SP","","Mid","Category label","Given label written in full","List ordered by appearance","[""slower, faster""]","[""faster, slower, faster, slower""]","inputs/abc/piece-06.abc","inputs/midi_performance_event_text/piece-06.txt","inputs/abc_plus_midi/piece-06.abc","inputs/audio/piece-06.wav","inputs/pdf/without_context/piece-06.pdf","[""inputs/images/piece-06/page-01.png"", ""inputs/images/piece-06/page-02.png"", ""inputs/images/piece-06/page-03.png"", ""inputs/images/piece-06/page-04.png"", ""inputs/images/piece-06/page-05.png"", ""inputs/images/piece-06/page-06.png"", ""inputs/images/piece-06/page-07.png"", ""inputs/images/piece-06/page-08.png"", ""inputs/images/piece-06/page-09.png"", ""inputs/images/piece-06/page-10.png"", ""inputs/images/piece-06/page-11.png"", ""inputs/images/piece-06/page-12.png"", ""inputs/images/piece-06/page-13.png"", ""inputs/images/piece-06/page-14.png"", ""inputs/images/piece-06/page-15.png"", ""inputs/images/piece-06/page-16.png"", ""inputs/images/piece-06/page-17.png""]"
"musp_24","6","Chopin","Ballade No. 1","Consider the theme starting at 2:51. In which bar does the performer reach the subverted, silent climax of this theme, characterized by a significant slow-down in tempo and loudness?","SP","","Long","Bar / beat","Bar number (digits)","Single","[""4""]","[""80""]","inputs/abc/piece-06.abc","inputs/midi_performance_event_text/piece-06.txt","inputs/abc_plus_midi/piece-06.abc","inputs/audio/piece-06.wav","inputs/pdf/without_context/piece-06.pdf","[""inputs/images/piece-06/page-01.png"", ""inputs/images/piece-06/page-02.png"", ""inputs/images/piece-06/page-03.png"", ""inputs/images/piece-06/page-04.png"", ""inputs/images/piece-06/page-05.png"", ""inputs/images/piece-06/page-06.png"", ""inputs/images/piece-06/page-07.png"", ""inputs/images/piece-06/page-08.png"", ""inputs/images/piece-06/page-09.png"", ""inputs/images/piece-06/page-10.png"", ""inputs/images/piece-06/page-11.png"", ""inputs/images/piece-06/page-12.png"", ""inputs/images/piece-06/page-13.png"", ""inputs/images/piece-06/page-14.png"", ""inputs/images/piece-06/page-15.png"", ""inputs/images/piece-06/page-16.png"", ""inputs/images/piece-06/page-17.png""]"
"musp_25","6","Chopin","Ballade No. 1","When the piano plays the melody 'F, G, G, Eb, Eb, D, C, D, D, Bb' a little after 03:00, the piece continues to modulate. To which key is the music modulating next, as evidenced by the return of one of the primary themes in the new key?","SP","","Long","Key / tonality","Key (pitch class and mode)","Single","[""C# minor"", ""D Dorian"", ""Bb Mixolydian""]","[""A minor""]","inputs/abc/piece-06.abc","inputs/midi_performance_event_text/piece-06.txt","inputs/abc_plus_midi/piece-06.abc","inputs/audio/piece-06.wav","inputs/pdf/without_context/piece-06.pdf","[""inputs/images/piece-06/page-01.png"", ""inputs/images/piece-06/page-02.png"", ""inputs/images/piece-06/page-03.png"", ""inputs/images/piece-06/page-04.png"", ""inputs/images/piece-06/page-05.png"", ""inputs/images/piece-06/page-06.png"", ""inputs/images/piece-06/page-07.png"", ""inputs/images/piece-06/page-08.png"", ""inputs/images/piece-06/page-09.png"", ""inputs/images/piece-06/page-10.png"", ""inputs/images/piece-06/page-11.png"", ""inputs/images/piece-06/page-12.png"", ""inputs/images/piece-06/page-13.png"", ""inputs/images/piece-06/page-14.png"", ""inputs/images/piece-06/page-15.png"", ""inputs/images/piece-06/page-16.png"", ""inputs/images/piece-06/page-17.png""]"
"musp_26","7","Chopin","Etude Op. 10 No. 4","In measures 71-72 and again in measures 73-74, the performer emphasizes a specific note/chord in the left hand. Which one stands out most? Provide the pitch value of that note, or if it's a chord, the notes within that chord.","SP","","Mid","Pitch","Pitch with octave number","List","[""A4, G#3, Bb2""]","[""A#2, A#3"", ""A#3, A#2""]","inputs/abc/piece-07.abc","inputs/midi_performance_event_text/piece-07.txt","inputs/abc_plus_midi/piece-07.abc","inputs/audio/piece-07.wav","inputs/pdf/without_context/piece-07.pdf","[""inputs/images/piece-07/page-1.png"", ""inputs/images/piece-07/page-2.png"", ""inputs/images/piece-07/page-3.png"", ""inputs/images/piece-07/page-4.png"", ""inputs/images/piece-07/page-5.png"", ""inputs/images/piece-07/page-6.png"", ""inputs/images/piece-07/page-7.png"", ""inputs/images/piece-07/page-8.png""]"
"musp_27","7","Chopin","Etude Op. 10 No. 4","In bar 62, on which left-hand chord pitches is the pedal that contains the first D natural lifted?","SP","","Mid","Pitch","Pitch with octave number","List ordered alphabetically","[""A4, G#3, Bb2""]","[""F#2, F#3""]","inputs/abc/piece-07.abc","inputs/midi_performance_event_text/piece-07.txt","inputs/abc_plus_midi/piece-07.abc","inputs/audio/piece-07.wav","inputs/pdf/without_context/piece-07.pdf","[""inputs/images/piece-07/page-1.png"", ""inputs/images/piece-07/page-2.png"", ""inputs/images/piece-07/page-3.png"", ""inputs/images/piece-07/page-4.png"", ""inputs/images/piece-07/page-5.png"", ""inputs/images/piece-07/page-6.png"", ""inputs/images/piece-07/page-7.png"", ""inputs/images/piece-07/page-8.png""]"
"musp_28","7","Chopin","Etude Op. 10 No. 4","Which right-hand sixteenth note in measures 75-79 is the most accentuated by the performer?","SP","","Mid","Pitch","Pitch with octave number","Single","[""Bb2"", ""C#3"", ""A4""]","[""G#5""]","inputs/abc/piece-07.abc","inputs/midi_performance_event_text/piece-07.txt","inputs/abc_plus_midi/piece-07.abc","inputs/audio/piece-07.wav","inputs/pdf/without_context/piece-07.pdf","[""inputs/images/piece-07/page-1.png"", ""inputs/images/piece-07/page-2.png"", ""inputs/images/piece-07/page-3.png"", ""inputs/images/piece-07/page-4.png"", ""inputs/images/piece-07/page-5.png"", ""inputs/images/piece-07/page-6.png"", ""inputs/images/piece-07/page-7.png"", ""inputs/images/piece-07/page-8.png""]"
"musp_29","7","Chopin","Etude Op. 10 No. 4","The performer takes freedom with respect to the tempo at the end of the piece. Which note or chord is delayed the longest? Answer with the pitch of the note, or the highest sounding voice if it's a chord.","SP","","Mid","Pitch","Pitch with octave number","Single","[""A4"", ""G#3"", ""Bb2""]","[""C#4""]","inputs/abc/piece-07.abc","inputs/midi_performance_event_text/piece-07.txt","inputs/abc_plus_midi/piece-07.abc","inputs/audio/piece-07.wav","inputs/pdf/without_context/piece-07.pdf","[""inputs/images/piece-07/page-1.png"", ""inputs/images/piece-07/page-2.png"", ""inputs/images/piece-07/page-3.png"", ""inputs/images/piece-07/page-4.png"", ""inputs/images/piece-07/page-5.png"", ""inputs/images/piece-07/page-6.png"", ""inputs/images/piece-07/page-7.png"", ""inputs/images/piece-07/page-8.png""]"
"musp_30","7","Chopin","Etude Op. 10 No. 4","The performer uses the sostenuto pedal sparingly. Starting in bar 1, up until the first beat of bar 4 (inclusive), on which 3 beats in which bars does the performer most use the pedal to broaden the sound? Consider the bars to contain 4 beats each.","SP","","Mid","Bar / beat","Bar and beat","List ordered by appearance","[""bar 1 beat 2, bar 3 beat 2, bar 3 beat 3""]","[""bar 1 beat 1, bar 3 beat 4, bar 4 beat 1""]","inputs/abc/piece-07.abc","inputs/midi_performance_event_text/piece-07.txt","inputs/abc_plus_midi/piece-07.abc","inputs/audio/piece-07.wav","inputs/pdf/without_context/piece-07.pdf","[""inputs/images/piece-07/page-1.png"", ""inputs/images/piece-07/page-2.png"", ""inputs/images/piece-07/page-3.png"", ""inputs/images/piece-07/page-4.png"", ""inputs/images/piece-07/page-5.png"", ""inputs/images/piece-07/page-6.png"", ""inputs/images/piece-07/page-7.png"", ""inputs/images/piece-07/page-8.png""]"
